orb of transmutation|진화의 오브
tainted orb of fusing|더럽혀진 연결의 오브
fracturing orb|분열의 오브
veiled orb|장막의 오브
grand eldritch ichor|우수한 섬뜩한 영액
engineer's shard|기술자의 파편
crusader's exalted orb|십자군의 엑잘티드 오브
maven's chisel of avarice|탐욕의 메이븐의 끌
wild crystallised lifeforce|야생 생기 결정
divine orb|신성한 오브
jeweller's orb|쥬얼러 오브
rogue's marker|도둑의 증표
lesser eldritch ichor|하급 섬뜩한 영액
eldritch exalted orb|섬뜩한 엑잘티드 오브
exalted orb|엑잘티드 오브
infused engineer's orb|주입된 기술자의 오브
maven's chisel of divination|점술의 메이븐의 끌
maven's chisel of proliferation|확산의 메이븐의 끌
orb of horizons|지평의 오브
exceptional eldritch ichor|특출난 섬뜩한 영액
gemcutter's prism|세공사의 프리즘
horizon shard|지평의 파편
maven's chisel of procurement|조달의 메이븐의 끌
portal scroll|포탈 주문서
vaal orb|바알 오브
hinekora's lock|히네코라의 머리카락
maven's chisel of scarabs|갑충석의 메이븐의 끌
chaos orb|카오스 오브
chromatic orb|색채의 오브
binding shard|속박의 파편
orb of alteration|변화의 오브
orb of dominance|지배의 오브
engineer's orb|기술자의 오브
tainted jeweller's orb|더럽혀진 쥬얼러 오브
tailoring orb|재단 오브
harbinger's orb|선구자의 오브
orb of conflict|갈등의 오브
redeemer's exalted orb|대속자의 엑잘티드 오브
orb of augmentation|확장의 오브
orb of annulment|소멸의 오브
fracturing shard|분열의 파편
blacksmith's whetstone|대장장이의 숫돌
ancient orb|고대의 오브
chaos shard|카오스 파편
eldritch orb of annulment|섬뜩한 소멸의 오브
mirror of kalandra|칼란드라의 거울
sacred crystallised lifeforce|신성한 생기 결정
orb of regret|후회의 오브
mirror shard|거울 파편
exceptional eldritch ember|특출난 섬뜩한 불씨
orb of binding|속박의 오브
lesser eldritch ember|하급 섬뜩한 불씨
regal orb|제왕의 오브
regal shard|제왕의 파편
enkindling orb|자극의 오브
glassblower's bauble|유리직공의 방울
eldritch chaos orb|섬뜩한 카오스 오브
scroll of wisdom|감정 주문서
hunter's exalted orb|사냥꾼의 엑잘티드 오브
orb of unmaking|취소의 오브
armourer's scrap|방어구 장인의 고철
awakener's orb|각성자의 오브
greater eldritch ember|상급 섬뜩한 불씨
tainted divine teardrop|더럽혀진 신성한 눈물방울
tainted mythic orb|더럽혀진 신화 오브
sacred orb|성스러운 오브
grand eldritch ember|우수한 섬뜩한 불씨
vivid crystallised lifeforce|혈기 생기 결정
warlord's exalted orb|전쟁군주의 엑잘티드 오브
orb of chance|기회의 오브
instilling orb|주입의 오브
ancient shard|고대의 파편
greater eldritch ichor|상급 섬뜩한 영액
blessed orb|축복의 오브
orb of fusing|연결의 오브
cartographer's chisel|지도제작자의 끌
veiled scarab|장막 갑충석
primal crystallised lifeforce|원시 생기 결정
tainted armourer's scrap|더럽혀진 방어구 장인의 고철
tainted chromatic orb|더럽혀진 색채의 오브
facetor's lens|무아지경의 렌즈
eternal orb|영원의 오브
tempering orb|단조 오브
exalted shard|엑잘티드 파편
tainted blacksmith's whetstone|더럽혀진 대장장이의 숫돌
annulment shard|소멸의 파편
stacked deck|카드 묶음
tainted chaos orb|더럽혀진 카오스 오브
tainted exalted orb|더럽혀진 엑잘티드 오브
reflecting mist|투영하는 안개
orb of alchemy|연금술의 오브
harbinger's shard|선구자의 파편
orb of scouring|정제의 오브
blessing of tul|툴의 축복
fragment of knowledge|지식의 조각
incursion scarab of timelines|시간선의 기습 갑충석
offering to the goddess|여신에게 바치는 공물
abyss scarab of profound depth|심원한 깊이의 심연 갑충석
scarab of radiant storms|찬란한 폭풍의 갑충석
forgotten reliquary key|잊혀진 성유물 보관실 열쇠
blight scarab of blooming|개화의 역병 갑충석
chayula's breachstone|차율라의 균열석
timeless vaal emblem|무궁한 바알 상징
essence scarab of stability|안정의 에센스 갑충석
titanic scarab of treasures|보물의 거대한 갑충석
scarab of stability|안정의 갑충석
fragment of purification|정화의 조각
timeless maraketh splinter|무궁한 마라케스 파편
harbinger scarab of obelisks|오벨리스크의 선구자 갑충석
ritual scarab of abundance|풍부함의 의식 갑충석
xoph's breachstone|조프의 균열석
torment scarab of peculiarity|기이함의 고통 갑충석
sacred blossom|신성한 꽃
horned scarab of awakening|각성의 뿔 달린 갑충석
fragment of shape|형성의 조각
veritania's crest|베리타니아의 문양
tribute to the goddess|여신에게 바치는 제물
anarchy scarab of gigantification|비대화의 혼란 갑충석
decaying reliquary key|부패하는 성유물 보관실 열쇠
essence scarab of calcification|석회화의 에센스 갑충석
sacrifice at dawn|새벽의 희생
beyond scarab of the invasion|침략의 이계 갑충석
sacrifice at midnight|심야의 희생
anarchy scarab|혼란 갑충석
legion scarab of command|지휘의 군단 갑충석
beyond scarab of haemophilia|혈우병의 이계 갑충석
timeless eternal empire splinter|무궁한 영원한 제국 파편
sulphite scarab of greed|탐욕의 아황산염 갑충석
visceral reliquary key|본능적인 성유물 보관실 열쇠
unrelenting timeless eternal emblem|가차없는 무궁한 영원의 상징
horned scarab of glittering|번쩍임의 뿔 달린 갑충석
legion scarab of eternal conflict|영원한 분쟁의 군단 갑충석
titanic scarab of legend|전설의 거대한 갑충석
tul's flawless breachstone|툴의 결함 없는 균열석
blazing fragment|불길의 조각
essence scarab|에센스 갑충석
fragment of the chimera|키메라의 지도 조각
ancient reliquary key|고대의 성유물 보관실 열쇠
fragment of emptiness|허무의 조각
harbinger scarab of regency|섭정의 선구자 갑충석
timeless karui splinter|무궁한 카루이 파편
cosmic fragment|별나라의 조각
ultimatum scarab of bribing|매수의 결전 갑충석
domination scarab of evolution|진화의 지배 갑충석
writhing invitation|꿈틀거리는 초대
beauty|아름다움
sacrifice at dusk|황혼의 희생
an audience with the king|왕 알현
horned scarab of bloodlines|혈맹의 뿔 달린 갑충석
betrayal scarab of intelligence|지능의 배신 갑충석
tul's breachstone|툴의 균열석
breach scarab of lordship|지위의 균열 갑충석
timeless maraketh emblem|무궁한 마라케스 상징
ambition|야심
breach scarab of snares|올가미의 균열 갑충석
oubliette reliquary key|지하 감옥 성유물 보관실 열쇠
shiny reliquary key|반짝이는 성유물 보관실 열쇠
delirium scarab of mania|광증의 환영 갑충석
ambush scarab of hidden compartments|비밀 공간의 매복 갑충석
betrayal scarab of perpetuation|영속화의 배신 갑충석
timeworn reliquary key|오래된 성유물 보관실 열쇠
ultimatum scarab|결전 갑충석
divination scarab of plenty|풍부함의 점술 갑충석
baran's crest|바란의 문양
torment scarab of release|해방의 고통 갑충석
awakening fragment|각성의 조각
abyss scarab of multitudes|군중의 심연 갑충석
expedition scarab of archaeology|고고학의 탐험 갑충석
splinter of xoph|조프의 파편
delirium scarab of paranoia|편집증의 환영 갑충석
simulacrum|복제된 영토
breach scarab|균열 갑충석
fragment of eradication|박멸의 조각
esh's breachstone|에쉬의 균열석
scarab of monstrous lineage|기괴한 혈통의 갑충석
timeless templar emblem|무궁한 템플러 상징
harbinger scarab|선구자 갑충석
breach scarab of splintering|파편의 균열 갑충석
sacrifice set|희생 세트
expedition scarab of the skald|시인의 탐험 갑충석
incursion scarab of invasion|침략의 기습 갑충석
timeless eternal emblem|무궁한 영원의 상징
gift to the goddess|여신에게 바치는 선물
incursion scarab|기습 갑충석
scarab of wisps|도깨비불의 갑충석
expedition scarab of runefinding|룬 탐색의 탐험 갑충석
blight scarab|역병 갑충석
beyond scarab|이계 갑충석
maddening object|광기의 물품
timeless templar splinter|무궁한 템플러 파편
key to the crucible|시련의 열쇠
horned scarab of nemeses|천벌의 뿔 달린 갑충석
mortal hope|필멸의 희망
scarab of divinity|신성의 갑충석
anarchy scarab of partnership|협력의 혼란 갑충석
blight scarab of bounty|하사품의 역병 갑충석
influencing scarab of the elder|엘더의 영향력 갑충석
splinter of chayula|차율라의 파편
fragment of the hydra|히드라의 지도 조각
legion scarab|군단 갑충석
al-hezmin's crest|알-헤즈민의 문양
mortal ignorance|필멸의 무지
crest of the elderslayers|엘더슬레이어의 문양
sulphite scarab|아황산염 갑충석
divination scarab of pilfering|훔쳐냄의 점술 갑충석
scarab of hunted traitors|쫓기는 배신자의 갑충석
key to decay|부패의 열쇠
timeless vaal splinter|무궁한 바알 파편
devouring fragment|포식의 조각
harvest scarab|수확 갑충석
cooperation|협력
breach scarab of resonant cascade|공명하는 폭포의 균열 갑충석
unrelenting timeless maraketh emblem|가차없는 무궁한 마라케스 상징
drox's crest|드록스의 문양
blessing of uul-netol|울네톨의 축복
influencing scarab of hordes|군단의 영향력 갑충석
breach scarab of the dreamer|몽상가의 균열 갑충석
abyss scarab of emptiness|허무의 심연 갑충석
valdo's puzzle box|발도의 퍼즐 상자
abyss scarab|심연 갑충석
unrelenting timeless vaal emblem|가차없는 무궁한 바알 상징
mortal set|필멸 세트
splinter of uul-netol|울네톨의 파편
chayula's flawless breachstone|차율라의 결함 없는 균열석
beyond scarab of corruption|타락의 이계 갑충석
archive reliquary key|서고 성유물 보관실 열쇠
influencing scarab of the shaper|쉐이퍼의 영향력 갑충석
ritual scarab of selectiveness|선택의 의식 갑충석
legion scarab of the sekhema|세케마의 군단 갑충석
dedication to the goddess|여신에게 바치는 헌신
sacrifice at noon|정오의 희생
ritual scarab of wisps|도깨비불의 의식 갑충석
unrelenting timeless templar emblem|가차없는 무궁한 템플러 상징
polaric invitation|극성의 초대
horned scarab of tradition|전통의 뿔 달린 갑충석
screaming invitation|절규하는 초대
cartography scarab of risk|위험의 지도 제작 갑충석
abyss scarab of edifice|건축물의 심연 갑충석
fragment of terror|공포의 조각
harvest scarab of cornucopia|풍요의 뿔의 수확 갑충석
cartography scarab of the multitude|군중의 지도 제작 갑충석
torment scarab|고통 갑충석
vaal reliquary key|바알 성유물 보관실 열쇠
unrelenting timeless karui emblem|가차없는 무궁한 카루이 상징
mortal grief|필멸의 슬픔
splinter of tul|툴의 파편
ultimatum scarab of inscription|새김의 결전 갑충석
mortal rage|필멸의 격노
simulacrum splinter|복제된 영토 파편
divine vessel|성스러운 시험관
fragment of constriction|위압의 조각
blessing of chayula|차율라의 축복
harvest scarab of doubling|복제의 수확 갑충석
crescent splinter|초승달 파편
decaying fragment|쇠퇴의 조각
fragment of the minotaur|미노타우로스의 지도 조각
titanic scarab|거대한 갑충석
splinter of esh|에쉬의 파편
bestiary scarab of the herd|떼의 야수 도감 갑충석
ambush scarab of discernment|분별의 매복 갑충석
horned scarab of pandemonium|혼란 유발의 뿔 달린 갑충석
divination scarab of the cloister|회랑의 점술 갑충석
cosmic reliquary key|우주의 성유물 보관실 열쇠
bestiary scarab of duplicating|복제의 야수 도감 갑충석
torment scarab of possession|사로잡힘의 고통 갑충석
bestiary scarab|야수 도감 갑충석
reality fragment|현실의 조각
horned scarab of preservation|보전의 뿔 달린 갑충석
delirium scarab of neuroses|신경증의 환영 갑충석
xoph's flawless breachstone|조프의 결함 없는 균열석
beyond scarab of resurgence|재기의 이계 갑충석
curiosity|호기심
blight scarab of the blightheart|메마른 심장의 역병 갑충석
legion scarab of officers|장교의 군단 갑충석
the maven's writ|메이븐의 문서
delirium scarab|환영 갑충석
ambush scarab of potency|잠재력의 매복 갑충석
betrayal scarab of reinforcements|보강의 배신 갑충석
scarab of bisection|양단의 갑충석
cartography scarab of escalation|증대의 지도 제작 갑충석
domination scarab of apparitions|유령의 지배 갑충석
voidborn reliquary key|공허의 시초 성유물 보관실 열쇠
domination scarab|지배 갑충석
synthesising fragment|결합의 조각
essence scarab of adaptation|적응의 에센스 갑충석
ultimatum scarab of catalysing|기폭의 결전 갑충석
incandescent invitation|백열하는 초대
delirium scarab of delusions|망상의 환영 갑충석
incursion scarab of champions|용사의 기습 갑충석
ritual vessel|의식의 그릇
fragment of enslavement|조종의 조각
ambush scarab|매복 갑충석
scarab of adversaries|적수의 갑충석
essence scarab of ascent|상승의 에센스 갑충석
cartography scarab of singularity|특이점의 지도 제작 갑충석
ultimatum scarab of dueling|결투의 결전 갑충석
domination scarab of terrors|공포의 지배 갑충석
expedition scarab|탐험 갑충석
bestiary scarab of the shadowed crow|그늘진 까마귀의 야수 도감 갑충석
ambush scarab of containment|봉쇄의 매복 갑충석
uul-netol's flawless breachstone|울네톨의 결함 없는 균열석
timeless karui emblem|무궁한 카루이 상징
blight scarab of invigoration|고무의 역병 갑충석
betrayal scarab|배신 갑충석
expedition scarab of verisium powder|베리시움 화약의 탐험 갑충석
fragment of the phoenix|불사조의 지도 조각
cartography scarab of corruption|타락의 지도 제작 갑충석
sulphite scarab of fumes|연기의 아황산염 갑충석
blessing of esh|에쉬의 축복
esh's flawless breachstone|에쉬의 결함 없는 균열석
uul-netol's breachstone|울네톨의 균열석
ritual splinter|의식의 파편
harbinger scarab of warhoards|전쟁비축물의 선구자 갑충석
blessing of xoph|조프의 축복
influencing scarab of conversion|전향의 영향력 갑충석
time rune|시간 룬
life rune|생명 룬
power rune|권능 룬
journey rune|여정 룬
bounty rune|하사품 룬
river rune|강 룬
mountain rune|산 룬
bound rune|속박 룬
sun rune|태양 룬
war rune|전쟁 룬
